% Model:              n169_R19.5_d38.75_r7.00_rerrormax0.02_x0_y0_rev0.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2024, 13:21
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
11.021713029717032+1.0568039355707955E-4i         1.8453988941089996E-31                            52145.99202525143                                 0.17553041519088539
11.021831028337441+1.056565631206988E-4i          5.429833742187104E-31                             52158.311811621774                                0.17553041519088539
11.025518185733105+1.0481953895695811E-4i         3.0274396505124295E-31                            52592.40604266183                                 0.17553041519088539
11.025531862146005+1.0480017309054817E-4i         6.765938609508778E-32                             52602.18984974917                                 0.17553041519088539
11.052047285400779+1.0317640877810809E-4i         3.031447598335204E-32                             53558.52037046413                                 0.17553041519088539
11.052232288444577+1.0309914597747579E-4i         4.637132690534885E-32                             53599.554784891785                                0.17553041519088539
11.05263251137409+1.032332056310644E-4i           1.7773065892981534E-31                            53531.887493938986                                0.17553041519088539
11.05270033524705+1.0322659834374359E-4i          4.1988715848454995E-32                            53535.642463805896                                0.17553041519088539
11.069672075204469+1.0563375424409278E-4i         5.360458842987854E-32                             52396.00026257927                                 0.17553041519088539
11.077730539969078+1.0487118807217354E-4i         3.821120583734239E-31                             52815.416959168826                                0.17553041519088539
11.08703663836996+1.036315890453184E-4i           6.532953893243637E-31                             53492.07631356023                                 0.17553041519088539
11.087349950520712+1.0364682104116884E-4i         1.2920757869333245E-30                            53485.7263543596                                  0.17553041519088539
11.097317665431609+1.0142808693611421E-4i         1.5579551856056546E-31                            54704.86850242784                                 0.17553041519088539
11.098596883652432+1.0530463665395435E-4i         1.0916848604617187E-32                            52697.08881643798                                 0.17553041519088539
11.09898424674033+1.0529199814881046E-4i          1.0904450243049862E-31                            52705.25362355367                                 0.17553041519088539
11.111615926058215+1.0590830186758246E-4i         2.264419460726545E-30                             52458.17889767457                                 0.17553041519088539
11.11298569198787+1.0578550892131963E-4i          5.957674934253263E-31                             52525.54543321449                                 0.17553041519088539
11.113875691209666+1.0415051749277874E-4i         1.1314513672839362E-31                            53354.390195976266                                0.17553041519088539
11.116737502849197+1.0581139652608419E-4i         3.184467845509031E-31                             52530.42238764036                                 0.17553041519088539
11.132976968502588+1.0111373740311849E-4i         4.189325514279834E-31                             55051.26416194401                                 0.17553041519088539
