% Model:              n169_d37.00_R19.5_r7_rmaxerror0.0387_x0_y0_rev2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 29 2024, 13:02
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.194949356778524+7.87648907388532E-5i            1.5052162681792756E-32                            58369.099121216816                                0.1682432536895302
9.197464437210524+8.08018914234028E-5i            5.903434732841606E-32                             56913.1752500229                                  0.1682432536895302
9.198049238771329+8.104449093071815E-5i           2.9293013803951526E-32                            56746.41702556944                                 0.1682432536895302
9.21476965040836+8.19666818323962E-5i             1.5426777345049596E-32                            56209.961932083876                                0.1682432536895302
9.232922912688487+7.648983781379331E-5i           3.2783354514152004E-31                            60353.42017258148                                 0.1682432536895302
9.23307595697375+7.640762416554252E-5i            2.681587816332134E-31                             60419.36172512912                                 0.1682432536895302
9.25635912085364+7.627667464422093E-5i            1.009466886443267E-33                             60675.710810404584                                0.1682432536895302
9.256578629979675+7.906244022987924E-5i           2.993407882249487E-32                             58539.172331039386                                0.1682432536895302
9.272009315101311+8.084553341332484E-5i           5.407230034350212E-32                             57343.48018082341                                 0.1682432536895302
9.284197568430121+7.352977615706789E-5i           2.6615931100791834E-31                            63131.730621776165                                0.1682432536895302
9.285435960553137+7.92404310651745E-5i            2.063584974043511E-31                             58589.766601323005                                0.1682432536895302
9.285796960117946+7.914345860958287E-5i           1.9222756045301523E-31                            58663.8364212123                                  0.1682432536895302
9.287974888142282+7.371064907851271E-5i           3.365733584032182E-33                             63002.43787990464                                 0.1682432536895302
9.300548283386409+6.875262753532334E-5i           7.693762320097599E-35                             67637.26612839843                                 0.1682432536895302
9.301370644999324+6.864295083397049E-5i           7.097146085641683E-34                             67751.3268991395                                  0.1682432536895302
9.303516195296687+6.856390986780985E-5i           2.2071115430652852E-33                            67845.07804312762                                 0.1682432536895302
9.304992904523775+7.845955416853469E-5i           4.7550832510432565E-31                            59297.523062316635                                0.1682432536895302
9.305043275006561+7.837237397335349E-5i           1.548538910594697E-31                             59363.80660331367                                 0.1682432536895302
9.318040854493695+3.7164834243320666E-4i          0.5704296289921975                                12535.599049724433                                0.1682432536895302
9.323467457755878+8.25409052316631E-5i            1.2007107531019235E-29                            56477.360419035525                                0.1682432536895302
9.323887349709942+8.254037833081314E-5i           2.5761194986278223E-29                            56480.26450007017                                 0.1682432536895302
9.329611568560088+3.707666286747351E-4i           0.010336967040421413                              12581.014681068129                                0.1682432536895302
9.330546299390498+3.708253477206972E-4i           0.0016648111655026088                             12580.282773009798                                0.1682432536895302
9.345196355304571+3.6957833789725647E-4i          1.8807430973869673E-4                             12642.552018145001                                0.1682432536895302
9.345840119355582+3.6965686720160653E-4i          6.170520163130731E-6                              12640.736903697223                                0.1682432536895302
9.350982565133533+3.690827137009623E-4i           0.11004446831216295                               12667.368386713784                                0.1682432536895302
9.353882462238664+8.018490658205707E-5i           3.455680384276394E-29                             58326.45171805426                                 0.1682432536895302
9.354158179790973+8.016974580000346E-5i           1.2391768917051034E-29                            58339.20141666886                                 0.1682432536895302
9.361820805563223+3.683691629303717E-4i           1.7707104207813988E-4                             12706.617734794223                                0.1682432536895302
9.367562591253403+3.679300687769149E-4i           6.571624346056003E-4                              12729.585380881668                                0.1682432536895302
9.368824604767768+8.234627945855255E-5i           1.2347502914542274E-30                            56886.249655759544                                0.1682432536895302
9.368991584787672+8.237460270087075E-5i           4.9721716921671156E-30                            56867.70355060205                                 0.1682432536895302
9.3750313822096+3.671040113597248E-4i             3.056848448012655E-6                              12768.403086211958                                0.1682432536895302
9.375725909339577+3.6720781581887804E-4i          3.0417718888696846E-6                             12765.739172804579                                0.1682432536895302
9.385874956848092+3.664420656208578E-4i           1.0390751699065029E-4                             12806.264545930708                                0.1682432536895302
9.386866013980606+3.665332803507405E-4i           6.793986602590286E-6                              12804.429391786174                                0.1682432536895302
9.389512428736879+7.597995595325426E-5i           9.03812611590326E-30                              61788.90085311375                                 0.1682432536895302
9.395659502455993+7.864057015768072E-5i           6.96259760450822E-21                              59737.48681179507                                 0.1682432536895302
9.39583941177647+7.865625498218439E-5i            9.64003528093333E-23                              59726.7193432124                                  0.1682432536895302
9.403830769733167+3.6490026004191344E-4i          5.694644760254268E-5                              12884.97928001565                                 0.1682432536895302
