% Model:              n169_d38.00_R19.5_r7_rmaxerror0.0387_x0_y0_rev2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 29 2024, 14:14
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
10.173748449964803+1.3629664073226905E-4i         5.642974250192935E-32                             37321.58505130916                                 0.1731552583193133
10.174157604996468+1.3628357264896306E-4i         1.44026897126638E-31                              37326.66489964208                                 0.1731552583193133
10.179226866541738+1.35697852320892E-4i           1.5529208115477153E-32                            37506.46024307643                                 0.1731552583193133
10.182459573858235+1.345412253590583E-4i          3.0940053477728264E-31                            37840.91441796952                                 0.1731552583193133
10.18251634609376+1.3454287977406838E-4i          2.96580830636234E-31                              37840.66007543422                                 0.1731552583193133
10.222379754371026+1.3467452672268074E-4i         2.8310271871005207E-33                            37951.66615646468                                 0.1731552583193133
10.224214351465877+1.3550893623450475E-4i         2.623471317339125E-32                             37724.74119946853                                 0.1731552583193133
10.227303471316782+1.36198480236862E-4i           1.419909291356339E-32                             37545.08670783552                                 0.1731552583193133
10.246992810893957+1.356373821859342E-4i          3.913721768859937E-33                             37772.983735545415                                0.1731552583193133
10.247284463659257+1.3563722291018372E-4i         5.351490435031672E-33                             37774.10320731188                                 0.1731552583193133
10.256424565151265+1.3389402723694427E-4i         8.831713663584125E-33                             38300.030750613856                                0.1731552583193133
10.28305542311126+1.353861046210989E-4i           2.1330310225774443E-33                            37976.275594713625                                0.1731552583193133
10.283561894458856+1.3540957333585036E-4i         3.222432405923568E-34                             37971.56373722147                                 0.1731552583193133
10.287224247486748+1.3473005488315938E-4i         1.789712212602779E-33                             38176.66937416924                                 0.1731552583193133
10.28747075505967+1.3471905927880118E-4i          5.980079042224132E-34                             38180.70024365199                                 0.1731552583193133
10.319973419524686+1.3501958633323365E-4i         8.995838843094672E-33                             38216.07915282261                                 0.1731552583193133
10.32051549866818+1.3505963781659737E-4i          4.843450617566107E-33                             38206.75296645307                                 0.1731552583193133
10.339873353660929+1.3656642654079085E-4i         9.851374481642975E-32                             37856.07126593061                                 0.1731552583193133
10.346814534222363+1.3352907622716717E-4i         4.129675318808298E-32                             38743.17578703384                                 0.1731552583193133
10.361269865990876+1.3358666110509975E-4i         1.3972735730138032E-31                            38780.57905943536                                 0.1731552583193133
10.361498715475493+1.3354750165024858E-4i         6.486641054353511E-32                             38792.80744250207                                 0.1731552583193133
10.362870045699955+1.3402422462995337E-4i         1.4376696835951072E-31                            38659.935935285                                   0.1731552583193133
10.363153045875276+1.3401205552913614E-4i         1.6927641820008956E-33                            38664.50240426443                                 0.1731552583193133
10.376267964850017+1.364642899518586E-4i          5.50627428823446E-31                              38017.752641818326                                0.1731552583193133
10.41199496885329+1.365366257443012E-4i           2.4128356201428226E-28                            38128.44190272301                                 0.1731552583193133
10.412654386886489+1.365152160594992E-4i          6.863587749661494E-29                             38136.83679244309                                 0.1731552583193133
10.419369245498228+3.9771057543926477E-4i         0.5525707864027462                                13098.684298405024                                0.1731552583193133
10.421286073908641+1.3424569686520848E-4i         6.390491520591044E-28                             38813.72371848259                                 0.1731552583193133
10.425746966268678+1.3345960070427468E-4i         1.624294603993187E-29                             39059.05712312153                                 0.1731552583193133
10.42879827910015+3.970433652216841E-4i           0.012981405957064745                              13132.570515026757                                0.1731552583193133
10.430866782057835+3.9698374403600675E-4i         3.7248753434363457E-4                             13137.14810744513                                 0.1731552583193133
10.43416429344906+1.3361176706611465E-4i          1.207507185447945E-28                             39046.07164414274                                 0.1731552583193133
10.434885585554431+1.3359744973003587E-4i         6.694184429195708E-29                             39052.9555888015                                  0.1731552583193133
10.44277668342006+3.96100868835709E-4i            3.3480115415790823E-7                             13181.46423474888                                 0.1731552583193133
10.443905155808634+3.9602897915446284E-4i         0.0055347748151798794                             13185.281790851515                                0.1731552583193133
10.448315446993984+3.958572939055301E-4i          0.11351745669453982                               13196.570875149966                                0.1731552583193133
10.449497487665807+1.3318962531637656E-4i         4.0681020332513255E-26                            39227.38841328781                                 0.1731552583193133
10.450310065780982+1.3268050124671263E-4i         1.0917167327789239E-26                            39380.97643037412                                 0.1731552583193133
10.456734689371698+3.950986440267037E-4i          0.0011266752358595016                             13232.565440151624                                0.1731552583193133
10.46254652024861+3.946151284995047E-4i           9.283027304334643E-5                              13256.143291884186                                0.1731552583193133
