% Model:              n169_d36.00_R19.5_r7_rmaxerror0.0387_x0_y0_rev4.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 29 2024, 12:59
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
8.299787804104787+5.997349121523743E-5i           3.712667959011633E-28                             69195.02783093683                                 0.16190337736261898
8.300172246078944+7.185089412355883E-5i           9.052742527642418E-28                             57759.24859494499                                 0.16190337736261898
8.31485070313241+8.143885986695435E-5i            3.2078061289619203E-32                            51049.18448433765                                 0.16190337736261898
8.317910248512419+8.215632399670114E-5i           1.2949547954831104E-31                            50621.990601967715                                0.16190337736261898
8.319175919119532+8.21017299543156E-5i            2.5411032455960444E-32                            50663.359615302106                                0.16190337736261898
8.319900208473888+8.022925830072175E-5i           1.0861817558658841E-33                            51850.31755322386                                 0.16190337736261898
8.320203737951323+8.124800608234348E-5i           4.810710848828529E-34                             51202.0412939194                                  0.16190337736261898
8.321588017445348+8.12476960737126E-5i            1.6114385932898396E-31                            51210.754834384345                                0.16190337736261898
8.327854566275052+8.397991289180718E-5i           7.908000892589367E-32                             49581.94595536552                                 0.16190337736261898
8.32865105737251+8.397227383020598E-5i            7.137738652251845E-33                             49591.198752351105                                0.16190337736261898
8.330075122944063+8.398470574611388E-5i           4.8872536110512697E-32                            49592.33537614984                                 0.16190337736261898
8.331069486056641+8.405334160740491E-5i           4.439355774201795E-32                             49557.75373449099                                 0.16190337736261898
8.33183044842848+8.399952951547759E-5i            9.026698105290482E-32                             49594.03115655914                                 0.16190337736261898
8.33188233847057+8.397155998799483E-5i            2.3836286122416237E-33                            49610.85921981074                                 0.16190337736261898
8.356526404864743+7.81525755763654E-5i            2.59353215772541E-31                              53462.41468926896                                 0.16190337736261898
8.401131165526737+7.111709984128836E-5i           4.690729669214913E-31                             59064.98509638677                                 0.16190337736261898
8.401495756823874+7.109011743949045E-5i           2.0117691254643132E-32                            59089.967749014024                                0.16190337736261898
8.407449492120142+8.46243838741748E-5i            9.083050784620647E-32                             49674.604224631534                                0.16190337736261898
8.416195089992048+8.257046434574072E-5i           1.5076201141744665E-31                            50963.21726730724                                 0.16190337736261898
8.416614160975076+8.259662186134883E-5i           4.437649100232928E-31                             50949.614379605526                                0.16190337736261898
8.512339889136609+5.1620283863328856E-5i          6.723036158020495E-32                             82451.00211017329                                 0.16190337736261898
8.512560527823187+5.153489273680484E-5i           2.3775391420676167E-32                            82589.76141670645                                 0.16190337736261898
8.519279694653138+5.780126961931386E-5i           2.289082091822504E-32                             73694.07232419334                                 0.16190337736261898
8.581107569785908+3.7167856735290594E-4i          0.5937758176682696                                11543.220666659454                                0.16190337736261898
8.5934290046759+3.701476018884307E-4i             0.010047888392723092                              11607.61020250469                                 0.16190337736261898
8.595098289975018+3.701667616455577E-4i           6.114103663022609E-4                              11609.264091449711                                0.16190337736261898
8.611302614923494+3.682635272810626E-4i           9.443370703537841E-5                              11691.26525809653                                 0.16190337736261898
8.612296654307404+3.6844634726971003E-4i          2.1158380916649953E-4                             11686.812819091367                                0.16190337736261898
8.618475685900792+3.675110108204695E-4i           0.09729795717270603                               11724.963997767027                                0.16190337736261898
8.630746459047442+3.663537288761451E-4i           2.6388216670875813E-4                             11778.750282695035                                0.16190337736261898
8.635721954250645+3.658042816651629E-4i           0.0019533238595352406                             11803.243459281157                                0.16190337736261898
8.645806176000118+3.6515945209789806E-4i          3.119806597763988E-5                              11837.89477004505                                 0.16190337736261898
8.648253198055098+3.647448490163917E-4i           1.101344543211031E-4                              11854.705637184228                                0.16190337736261898
8.657275910336583+3.632258089102499E-4i           1.7347980171746312E-7                             11916.70457733293                                 0.16190337736261898
8.658420202240412+3.6388135404544984E-4i          2.567296848510244E-5                              11896.807551854172                                0.16190337736261898
8.67947266804626+3.6143055596236495E-4i           0.00763764519381497                               12006.602779096436                                0.16190337736261898
8.679906314557682+3.6151754881340775E-4i          5.668435346378383E-4                              12004.313188940669                                0.16190337736261898
8.683726448202878+3.60993780007013E-4i            0.03334998522816952                               12027.021750764334                                0.16190337736261898
8.686582910169363+3.6053542992355904E-4i          2.3032052661096404E-4                             12046.273449533423                                0.16190337736261898
8.687547878973694+3.6050607575090703E-4i          0.001059978825606987                              12048.592588393762                                0.16190337736261898
