% Model:              n169_d38.75_R19.5_r7_rmaxerror0.015_external_axion_field_eigenvalues.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 9 2024, 09:51
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             A (m^2)                                           Q (1)                                             Q_alt (rad)                                       Ploss (W/m)                                       Pexp (W/m)                                        Pohmic (W/m)
11.42354512002497+1.060137810182297E-4i           1.1951514808528403E-31                            0.1755305731509165                                53252.53328320598                                 53877.14317924174                                 0.5754180586530379                                2.2993148750643706E-51                            2.8355653029251187E-26
11.433227100183323+1.0544018089901451E-4i         4.551077294150596E-32                             0.1755305731509165                                53599.47829052128                                 54216.152246116995                                0.5711469838678191                                8.82018968753218E-52                              4.9751386761353055E-27
11.43339542304483+1.0543810216349167E-4i          6.689872009631187E-33                             0.1755305731509165                                53594.71260163429                                 54218.01934212092                                 0.5722801906589158                                1.2964306806161588E-52                            8.596380495896423E-27
11.439398945540434+1.05876786472069E-4i           1.275056229422377E-32                             0.1755305731509165                                53397.97132354461                                 54021.7244764642                                  0.5733355440183983                                2.4631543234942862E-52                            1.1373173696635608E-26
11.439544936414809+1.0588545288346591E-4i         9.064304268637741E-32                             0.1755305731509165                                53395.34741485219                                 54017.99229405936                                 0.572271610938055                                 1.7509790977614498E-51                            9.184887056732337E-27
11.446296274117758+1.0821050453488659E-4i         1.9346661139353607E-32                            0.1755305731509165                                52255.5077870284                                  52888.525871948776                                0.5851467083196131                                3.659631872799795E-52                             1.4380970744906102E-26
11.446551164285536+1.0825024976703876E-4i         1.4320633402570557E-32                            0.1755305731509165                                52233.706309881134                                52870.284417119685                                0.5854905150492486                                2.707834050470336E-52                             6.7680891784179245E-28
11.449193516247721+1.085789719173799E-4i          4.0970606793370215E-32                            0.1755305731509165                                52084.52131309788                                 52722.3862859013                                  0.5880849725099055                                7.72663310129928E-52                              2.128101991077839E-26
11.457984869950758+1.0837687327895857E-4i         1.9164540969748392E-31                            0.1755305731509165                                52223.065220332086                                52861.261735125125                                0.5869892802517055                                3.6266308042539045E-51                            4.5093871805646286E-26
11.496190419806014+1.0774624650533946E-4i         2.5402417646112473E-31                            0.1755305731509165                                52717.42061667478                                 53347.9496842172                                  0.5842145848715117                                4.868749996051528E-51                             3.359107467402137E-26
11.496492426747283+1.0773894027026209E-4i         2.16113866989003E-31                              0.1755305731509165                                52719.81016484593                                 53352.96903787626                                 0.5827459930759752                                4.142439276198872E-51                             3.566503829370838E-26
