% Model:              n169_d38.75_R19.5_r7_rmaxerror0.06_external_axion_field_eigenvalues.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2024, 15:45
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             A (m^2)                                           Q (1)                                             Q_alt (rad)                                       Ploss (W/m)                                       Pexp (W/m)                                        Pohmic (W/m)
11.557043930477143+3.394905679913956E-4i          1.0132547723169687E-4                             0.17553450930077527                               22518.350319193327                                17020.65602151137                                 9.015883496254572E-6                              8.339615982623536E-25                             2.1050295292046147E-18
11.561399201675387+3.394257191555592E-4i          0.008290634718710794                              0.17553450930077527                               22523.450067569753                                17030.323605954985                                9.045823702071478E-6                              6.827742796719844E-23                             9.9394800347026E-20
11.562615359220711+1.0790086569613719E-4i         2.9887462344279704E-28                            0.17553450930077527                               52957.866197431096                                53579.30758093245                                 0.5842657478777493                                5.787881866906266E-48                             1.3109564324078815E-24
11.562871806855433+1.0796005455128195E-4i         5.0199693198508885E-28                            0.17553450930077527                               52932.204283881394                                53551.120262773184                                0.5860029041620156                                9.716968915376119E-48                             1.7146775168404463E-24
11.563257770873848+1.0791020875726876E-4i         1.4186971086373946E-27                            0.17553450930077527                               52954.68592220678                                 53577.645130288925                                0.5861212546869771                                2.747377562528109E-47                             9.784381379882445E-25
11.563295424912694+3.368602717660614E-4i          0.0016221482790646962                             0.17553450930077527                               22576.582927980464                                17162.840830382916                                8.994195111138148E-6                              1.339289430122378E-23                             1.0830490432853515E-19
11.564578630229343+3.3827987814767196E-4i         0.0011988900239692298                             0.17553450930077527                               22551.802416059054                                17092.710767190518                                9.043758789442696E-6                              9.888592432621153E-24                             6.553503388073526E-19
11.568879509527408+3.3643943550310955E-4i         0.004370338611325266                              0.17553450930077527                               22578.25592079395                                 17192.60839029079                                 9.017435770343735E-6                              3.610279590441223E-23                             1.827484071053626E-19
11.569628074863077+3.3693126701422215E-4i         5.170328531174957E-4                              0.17553450930077527                               22574.235044560162                                17168.62179968179                                 9.030124781275268E-6                              4.270656488418809E-24                             2.768922478035924E-20
11.573286949550587+3.3714260885161216E-4i         0.004849593113075053                              0.17553450930077527                               22566.45837770256                                 17163.285393924696                                9.051398746922635E-6                              4.0056176192826127E-23                            9.190023225438148E-20
11.576352841555844+1.0731063181088071E-4i         1.0751707876419153E-28                            0.17553450930077527                               53325.34192193058                                 53938.016790057685                                0.5813597809465101                                2.0990699921628695E-48                            1.0363866100784588E-24
11.576914577655646+1.0932126268004916E-4i         4.620958496902694E-28                             0.17553450930077527                               52318.58637866293                                 52948.551625879176                                0.5926324225014675                                8.851664761156404E-48                             2.174683652176709E-24
11.577186611156273+3.345653414470409E-4i          0.005553848706578265                              0.17553450930077527                               22631.402301801714                                17301.331610544876                                8.995935207330498E-6                              4.602063461097807E-23                             2.83905854817785E-19
11.57726931656612+1.0951299575591932E-4i          9.03887274026447E-27                              0.17553450930077527                               52228.165009666314                                52857.46913330397                                 0.5940236788709892                                1.728499409293624E-46                             9.932321522453659E-24
11.579265527897386+3.3575041677843186E-4i         1.8474299037313295E-4                             0.17553450930077527                               22605.198673576324                                17243.358415153634                                9.028147731994427E-6                              1.5293305715447507E-24                            1.8587925075425563E-19
11.580670093394774+3.3409088350575385E-4i         0.0014158449481933841                             0.17553450930077527                               22639.653993725424                                17331.116071925593                                8.994273195596835E-6                              1.173986844315827E-23                             1.4590959419468424E-19
11.583101242578222+3.337389870220042E-4i          0.0018681242993255083                             0.17553450930077527                               22642.608818580502                                17353.032893094474                                8.998469513493257E-6                              1.549534125587557E-23                             2.572213496055797E-19
11.585841260355599+3.318621353387148E-4i          0.0029425064257730922                             0.17553450930077527                               22680.118383731213                                17455.304284436308                                8.962165315836817E-6                              2.4453125156214112E-23                            9.086066683346193E-20
11.587350374896571+1.0868231737756025E-4i         5.33069954810808E-29                              0.17553450930077527                               52682.409673251175                                53307.850151354556                                0.5913685120474721                                1.0291484765133278E-48                            2.2145755523968476E-25
11.587867206397133+1.0866264351727087E-4i         1.0137558843262496E-27                            0.17553450930077527                               52692.66453065237                                 53319.87998926659                                 0.5890319215543718                                1.957632280800367E-47                             3.318565480022047E-24
11.588192541109484+3.3282563226686525E-4i         0.0030905900635088105                             0.17553450930077527                               22664.86889200828                                 17408.30373942873                                 8.998723707136749E-6                              2.5671685133122472E-23                            7.811384720303411E-19
11.588382167627552+3.325015322377148E-4i          0.0010288261887912856                             0.17553450930077527                               22674.311263520813                                17425.557813289295                                9.014419014715922E-6                              8.549544630822417E-24                             2.9299013665976445E-18
11.59069151662291+3.303184937997794E-4i           0.0013985353779262734                             0.17553450930077527                               22707.53860899758                                 17544.220304209954                                8.937330027312642E-6                              1.1641177878108596E-23                            1.3554193096905214E-19
11.59484130184244+3.300380157640562E-4i           0.0044215811081830285                             0.17553450930077527                               22703.850470878348                                17565.417183026242                                8.96772205704753E-6                               3.6811709187571845E-23                            7.7761810390921E-20
11.59633678345352+3.308964746560987E-4i           0.003927890539396016                              0.17553450930077527                               22700.649358743693                                17522.104885028613                                9.000931731524479E-6                              3.270111316750061E-23                             4.233026549027864E-20
11.600238950538062+3.2865289247989736E-4i         8.709284133903934E-5                              0.17553450930077527                               22736.311107906808                                17647.661244237333                                8.950413857298269E-6                              7.264629292586552E-25                             2.1396013966938872E-20
11.60137529873758+3.287046188440524E-4i           4.460824032127413E-4                              0.17553450930077527                               22752.68867201713                                 17646.61255396559                                 8.974533028916206E-6                              3.723928656799202E-24                             3.5402291643330127E-19
11.602944494149343+3.261590480402125E-4i          3.834579570790902E-4                              0.17553450930077527                               22793.290202086584                                17786.748358109526                                8.914789375738384E-6                              3.2072812737638047E-24                            1.0611872274748245E-19
11.606665459667658+3.265513129435812E-4i          6.781441730609975E-6                              0.17553450930077527                               22783.702259770274                                17771.078968945596                                8.924229814784788E-6                              5.671498971944187E-26                             9.254955921131918E-19
11.608564244444977+3.248745818092224E-4i          7.56255158049734E-5                               0.17553450930077527                               22822.38906846733                                 17865.72329688199                                 8.901809081004347E-6                              6.33653770683773E-25                              2.847462517755047E-20
11.61040092487983+3.2651137244221203E-4i          1.238887677622734E-4                              0.17553450930077527                               22798.990689600734                                17778.97304940056                                 8.994456780653018E-6                              1.0371434553643606E-24                            6.948969177588825E-20
11.611732090754298+3.248149023929256E-4i          0.0010229787145291077                             0.17553450930077527                               22825.903740015343                                17873.882225391546                                8.941252490566884E-6                              8.575029951011811E-24                             2.4783122474423284E-19
