% Model:              n169_d38.75_R19.5_r7_rmaxerror0.06_external_axion_field.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2024, 11:39
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)             C (1)                    A (m^2)                  Q (1)                    Q_alt (rad)              Ploss (W/m)              Pexp (W/m)               Pohmic (W/m)
11.5                     0.5969704155251045       0.1755345093007754       22250.692318501307       16404.223606785465       1.9914512463566697E-24   4.831013349059264E-21    2.6983018413188583E-24
11.500075                0.5958258840014005       0.1755345093007754       22251.07586790562        16404.680001976245       2.018973639928333E-24    4.8218657320374034E-21   2.7355877362625354E-24
11.500150000000001       0.5946681446313514       0.1755345093007754       22251.460975765985       16405.138663195197       2.0471197291659343E-24   4.812611122790512E-21    2.7737183983818355E-24
11.500225                0.5934969753643063       0.1755345093007754       22251.847663656918       16405.5996263381         2.0759093531283273E-24   4.803247719281462E-21    2.8127206936434882E-24
11.500300000000001       0.5923121495411986       0.1755345093007754       22252.23595351822        16406.06292801717        2.105363164223619E-24    4.793773681999943E-21    2.8526225892781567E-24
11.500375                0.5911134357865248       0.1755345093007754       22252.62586766107        16406.52860557697        2.135502669025639E-24    4.784187133081873E-21    2.8934532090386753E-24
11.50045                 0.5899005978989247       0.1755345093007754       22253.017428774252       16406.996697110593       2.1663502715002875E-24   4.774486155417262E-21    2.935242891720426E-24
11.500525000000001       0.588673394738277        0.1755345093007754       22253.41065993023        16407.467241476246       2.197929318831128E-24    4.764668791729592E-21    2.978023253200398E-24
11.5006                  0.587431580111394        0.1755345093007754       22253.805584591293       16407.94027831402        2.2302641499980176E-24   4.754733043643608E-21    3.0218272522028222E-24
11.500675000000001       0.5861749026535539       0.1755345093007754       22254.20222661605        16408.415848063243       2.263380147336707E-24    4.744676870719229E-21    3.0666892601001866E-24
11.50075                 0.5849031057086189       0.1755345093007754       22254.600610265297       16408.893991979887       2.2973037912503452E-24   4.7344981894735886E-21   3.1126451349807857E-24
11.500825                0.5836159272058602       0.1755345093007754       22255.000760208626       16409.374752154712       2.3320627183226117E-24   4.724194872376301E-21    3.1597323003209513E-24
11.500900000000001       0.5823130995338447       0.1755345093007754       22255.40270153058        16409.858171531298       2.3676857830742975E-24   4.713764746820548E-21    3.2079898285892055E-24
11.500975                0.5809943494120153       0.1755345093007754       22255.80645973672        16410.34429392481        2.4042031236107163E-24   4.703205594075168E-21    3.2574585301172472E-24
11.501050000000001       0.5796593977588589       0.1755345093007754       22256.212060760314       16410.83316404114        2.4416462314666816E-24   4.692515148208948E-21    3.308181047652877E-24
11.501125                0.5783079595578818       0.1755345093007754       22256.619530968008       16411.324827495882       2.4800480259328774E-24   4.681691094996625E-21    3.360201956979085E-24
11.5012                  0.5769397437197585       0.1755345093007754       22257.02889716667        16411.819330834365       2.5194429332295527E-24   4.670731070793824E-21    3.413567874094627E-24
11.501275000000001       0.5755544529425252       0.1755345093007754       22257.440186609052       16412.3167215515         2.559866970853153E-24    4.659632661395578E-21    3.468327569396682E-24
11.50135                 0.5741517835681899       0.1755345093007754       22257.8534269999         16412.817048112283       2.6013578375193644E-24   4.648393400865578E-21    3.524532089438917E-24
11.501425000000001       0.5727314254365469       0.1755345093007754       22258.26864650222        16413.320359972557       2.6439550091174428E-24   4.6370107703424586E-21   3.582234886826483E-24
11.5015                  0.5712930617357095       0.1755345093007754       22258.685873743252       16413.826707600012       2.687699841144574E-24    4.625482196819088E-21    3.64149195888227E-24
11.501575                0.5698363688505252       0.1755345093007754       22259.10513781979        16414.33614249577        2.7326356781092065E-24   4.613805051904185E-21    3.702361995746283E-24
11.501650000000001       0.5683610162067599       0.1755345093007754       22259.526468304426       16414.848717215904       2.778807970489663E-24    4.601976650549484E-21    3.764906538701794E-24
11.501725                0.5668666661131017       0.1755345093007754       22259.949895250793       16415.36448539393        2.8262643998104405E-24   4.589994249758633E-21    3.8291901494892774E-24
11.501800000000001       0.5653529736001508       0.1755345093007754       22260.375449199153       16415.88350176271        2.8750550125026432E-24   4.5778550472713335E-21   3.8952805915103474E-24
11.501875                0.5638195862558855       0.1755345093007754       22260.803161181273       16416.405822177658       2.9252323632763062E-24   4.565556180218391E-21    3.963249023906531E-24
11.50195                 0.562266144058635        0.1755345093007754       22261.233062725845       16416.93150363934        2.9768516687663016E-24   4.5530947237562324E-21   4.0331702095439716E-24
11.502025000000001       0.5606922792070063       0.1755345093007754       22261.665185862752       16417.460604317057       3.0299709723078875E-24   4.540467689676086E-21    4.105122738062532E-24
11.5021                  0.5590976159469732       0.1755345093007754       22262.09956312789        16417.9931835722         3.0846513207744262E-24   4.527672024989816E-21    4.179189265251593E-24
11.502175000000001       0.5574817703960889       0.1755345093007754       22262.53622756724        16418.529301982075       3.1409569545102043E-24   4.514704610491858E-21    4.255456770150444E-24
11.50225                 0.5558443503646496       0.1755345093007754       22262.975212740563       16419.069021363888       3.1989555114577248E-24   4.5015622592958745E-21   4.3340168313612406E-24
11.502325                0.5541849551745922       0.1755345093007754       22263.41655272504        16419.612404799052       3.2587182467262325E-24   4.4882417153525764E-21   4.414965924262032E-24
11.502400000000002       0.5525031754760369       0.1755345093007754       22263.860282118218       16420.159516657342       3.320320268925634E-24    4.474739651947806E-21    4.498405740911791E-24
11.502475                0.5507985930601627       0.1755345093007754       22264.306436040748       16420.710422621607       3.38384079479829E-24     4.4610526701703615E-21   4.584443534721852E-24
11.502550000000001       0.5490707806714085       0.1755345093007754       22264.755050138177       16421.26518971215        3.449363423708725E-24    4.447177297373631E-21    4.6731924920048135E-24
11.502625                0.5473193018157193       0.1755345093007754       22265.206160582933       16421.82388631171        3.516976433866246E-24    4.433109985604695E-21    4.7647721329387836E-24
11.5027                  0.5455437105683253       0.1755345093007754       22265.65980407493        16422.38658218977        3.586773102204522E-24    4.4188471100288124E-21   4.859308744550944E-24
11.502775000000002       0.5437435513785224       0.1755345093007754       22266.11601784213        16422.953348527477       3.658852050138528E-24    4.404384967329032E-21    4.956935848725423E-24
11.50285                 0.5419183588732622       0.1755345093007754       22266.57483963999        16423.524257942245       3.733317617613551E-24    4.389719774095369E-21    5.057794708503532E-24
11.502925000000001       0.5400676576597259       0.1755345093007754       22267.03630775034        16424.09938451205        3.8102802681096825E-24   4.374847665205053E-21    5.16203487628112E-24
11.503                   0.538190962125651        0.1755345093007754       22267.500460979423       16424.678803799885       3.8898570276040885E-24   4.359764692183793E-21    5.269814787966195E-24
11.503075                0.536287776240109        0.1755345093007754       22267.967338654827       16425.262592877683       3.972171960725835E-24    4.344466821569876E-21    5.381302407474569E-24
11.503150000000002       0.5343575933528135       0.1755345093007754       22268.436980621693       16425.850830350093       4.057356687809788E-24    4.3289499332656084E-21   5.496675926580036E-24
11.503225                0.5323998959937326       0.1755345093007754       22268.909427237653       16426.4435963776         4.145550946870418E-24    4.313209818890327E-21    5.616124525560491E-24
11.503300000000001       0.530414155673338        0.1755345093007754       22269.384719366673       16427.040972699437       4.2369032050289865E-24   4.2972421801377396E-21   5.739849200775486E-24
11.503375                0.5283998326822769       0.1755345093007754       22269.862898371586       16427.64304265584        4.331571324454936E-24    4.281042627127685E-21    5.86806366602421E-24
11.50345                 0.5263563758942591       0.1755345093007754       22270.34400610522        16428.24989120922        4.4297232883729044E-24   4.2646066767830304E-21   6.000995335196947E-24
11.503525000000002       0.5242832225685724       0.1755345093007754       22270.82808490022        16428.861604965143       4.531537993517382E-24    4.247929751202646E-21    6.13888639485686E-24
11.5036                  0.5221797981568403       0.1755345093007754       22271.315177557106       16429.47827219195        4.6372061159555254E-24   4.231007176067772E-21    6.2819949761178756E-24
11.503675000000001       0.5200455161113411       0.1755345093007754       22271.805327330676       16430.09998283938        4.746931058257677E-24    4.213834179060064E-21    6.430596436617639E-24
11.50375                 0.5178797776986775       0.1755345093007754       22272.29857791429        16430.726828555788       4.860929986732377E-24    4.196405888321936E-21    6.584984764381792E-24
11.503825                0.5156819718162658       0.1755345093007754       22272.79497342291        16431.35890270477        4.9794349688127574E-24   4.1787173309388676E-21   6.7454741172307E-24
11.503900000000002       0.5134514748159215       0.1755345093007754       22273.294558372858       16431.996300378858       5.102694221614768E-24    4.160763431477958E-21    6.912400512641947E-24
11.503975                0.5111876503325831       0.1755345093007754       22273.797377660165       16432.63911841285        5.230973484394021E-24    4.142539010567208E-21    7.08612368529225E-24
11.504050000000001       0.5088898491218141       0.1755345093007754       22274.30347653592        16433.287455394282       5.364557529039165E-24    4.124038783544771E-21    7.26702913141112E-24
11.504125                0.5065574089040188       0.1755345093007754       22274.812900579334       16433.941411672142       5.503751824804528E-24    4.1052573591615615E-21   7.455530361873102E-24
11.5042                  0.5041896542207899       0.1755345093007754       22275.325695667536       16434.601089363023       5.6488843753745775E-24   4.0861892383810124E-21   7.652071388512921E-24
11.504275000000002       0.5017858963007344       0.1755345093007754       22275.841907942173       16435.266592354583       5.8003077490648465E-24   4.066828813254466E-21    7.857129471817253E-24
11.50435                 0.49934543293881484      0.1755345093007754       22276.361583773218       16435.93802630621        5.958401325647552E-24    4.0471703659050724E-21   8.071218161779603E-24
11.504425000000001       0.4968675483891917       0.1755345093007754       22276.884769718865       16436.615498646297       6.12357378658794E-24     4.0272080676198965E-21   8.294890668165598E-24
11.5045                  0.4943515132756876       0.1755345093007754       22277.411512481187       16437.299118565756       6.296265879219185E-24    4.006935978083597E-21    8.528743601501006E-24
11.504575                0.49179658451744884      0.1755345093007754       22277.941858858645       16437.98899700823        6.4769534899448115E-24   3.9863480447343235E-21   8.773421132265778E-24
11.504650000000002       0.4892020052773255       0.1755345093007754       22278.475855693283       16438.685246655154       6.666151066327109E-24    3.965438102302416E-21    9.029619622232166E-24
11.504725                0.4865670049309091       0.1755345093007754       22279.01354981343        16439.3879819067         6.864415434123931E-24    3.944199872515446E-21    9.298092790279279E-24
11.504800000000001       0.4838907990599351       0.1755345093007754       22279.5549879718         16440.097318857344       7.072350062191399E-24    3.9226269639997116E-21   9.579657484293368E-24
11.504875                0.4811725894736902       0.1755345093007754       22280.100216777537       16440.81337526573        7.290609836069954E-24    3.900712872407501E-21    9.875200141452215E-24
11.504950000000001       0.47841156425896786      0.1755345093007754       22280.64928262287        16441.5362705186         7.519906410831541E-24    3.878450980774773E-21    1.0185684032400014E-23
11.505025                0.475606897865365        0.1755345093007754       22281.2022316034         16442.266125587612       7.761014224550527E-24    3.855834560164245E-21    1.0512157399412201E-23
11.5051                  0.47275775122353364      0.1755345093007754       22281.75910943179        16443.003062979515       8.014777267363851E-24    3.832856770574644E-21    1.0855762617056307E-23
11.505175000000001       0.4698632719052571       0.1755345093007754       22282.31996134478        16443.747206677686       8.28211671602874E-24     3.809510662188148E-21    1.1217746524075326E-23
11.50525                 0.46692259432713373      0.1755345093007754       22282.884832001553       16444.498682075482       8.564039562602955E-24    3.78578917697028E-21     1.1599472100544608E-23
11.505325000000001       0.4639348400003212       0.1755345093007754       22283.453765375627       16445.257615900307       8.861648387768481E-24    3.7616851506427185E-21   1.2002431693983838E-23
11.5054                  0.46089911783384335      0.1755345093007754       22284.02680463683        16446.024136127107       9.176152454900176E-24    3.737191315089431E-21    1.242826203271616E-23
11.505475                0.4578145244933417       0.1755345093007754       22284.603992024684       16446.798371881654       9.508880332574666E-24    3.7123003012118426E-21   1.2878761307518753E-23
11.505550000000001       0.45468014482209         0.1755345093007754       22285.185368712107       16447.580453331084       9.861294290087576E-24    3.687004642288379E-21    1.3355908652501232E-23
11.505625                0.45149505232954046      0.1755345093007754       22285.770974658375       16448.37051156224        1.0235006755489321E-23   3.661296777881185E-21    1.3861886416958764E-23
11.505700000000001       0.4482583097517248       0.1755345093007754       22286.36084845157        16449.168678446345       1.0631799179996264E-23   3.6351690583254125E-21   1.4399105693483587E-23
11.505775                0.444968969693116        0.1755345093007754       22286.9550271387         16449.97508648774        1.1053643717560331E-23   3.6086137498789835E-21   1.4970235655468974E-23
11.50585                 0.44162607535187726      0.1755345093007754       22287.55354604349        16450.789868657845       1.1502728208911774E-23   3.581623040548797E-21    1.55782373661046E-23
11.505925000000001       0.43822866134022365      0.1755345093007754       22288.156438571365       16451.61315821067        1.1981485055693318E-23   3.55418904668879E-21     1.6226402851269403E-23
11.506                   0.43477575460554974      0.1755345093007754       22288.763735999466       16452.44508848032        1.2492624689897658E-23   3.5263038204157536E-21   1.6918400390543486E-23
11.506075000000001       0.43126637545900515      0.1755345093007754       22289.37546725293        16453.285792658167       1.3039174490281629E-23   3.4979593578977594E-21   1.76583271787336E-23
11.50615                 0.4276995387244055       0.1755345093007754       22289.99165866372        16454.135403548582       1.362452417764705E-23    3.4691476086196394E-21   1.8450770754145807E-23
11.506225                0.4240742550122904       0.1755345093007754       22290.612333714496       16454.994053301103       1.425247894589585E-23    3.4398604856654504E-21   1.9300880894300563E-23
11.506300000000001       0.42038953213245644      0.1755345093007754       22291.23751276323        16455.861873118425       1.4927321864625566E-23   3.410089877126001E-21    2.021445405708636E-23
11.506375                0.4166443766530271       0.1755345093007754       22291.867212749934       16456.738992937106       1.5653887439144807E-23   3.3798276586976383E-21   2.1198032919063617E-23
11.506450000000001       0.41283779561920964      0.1755345093007754       22292.501446883394       16457.625541080255       1.6437648653436526E-23   3.3490657075793733E-21   2.2259024157481588E-23
11.506525                0.40896879844314316      0.1755345093007754       22293.140224306735       16458.521643879365       1.72848203780269E-23     3.3177959177614088E-21   2.340583837542553E-23
11.5066                  0.40503639897626925      0.1755345093007754       22293.78354974138        16459.42742526358        1.820248273179918E-23    3.286010216798587E-21    2.4648057026195998E-23
11.506675000000001       0.401039617778097        0.1755345093007754       22294.43142310759        16460.343006314575       1.919872889018755E-23    3.2537005841818704E-21   2.5996632415308433E-23
11.50675                 0.39697748459741894      0.1755345093007754       22295.083839120587       16461.26850478373        2.02828429927421E-23     3.2208590714389566E-21   2.746412842871818E-23
11.506825000000001       0.3928490410780223       0.1755345093007754       22295.740786861195       16462.204034569968       2.146551530574225E-23    3.1874778240626004E-21   2.9065011668974974E-23
11.5069                  0.38865334370381766      0.1755345093007754       22296.402249320025       16463.149705155858       2.2759103748155348E-23   3.1535491053886736E-21   3.081600532284102E-23
11.506975                0.38438946700464866      0.1755345093007754       22297.068202912676       16464.10562099839        2.4177953446035854E-23   3.1190653225973202E-21   3.273652154314873E-23
11.507050000000001       0.38005650703338123      0.1755345093007754       22297.738616966846       16465.071880873107       2.5738789354079885E-23   3.0840190549245816E-21   3.484919269201129E-23
11.507125                0.3756535851365043       0.1755345093007754       22298.413453177967       16466.048577166985       2.746120145696731E-23    3.0484030842657892E-21   3.7180527845433254E-23
11.507200000000001       0.3711798520355852       0.1755345093007754       22299.09266503322        16467.03579511895        2.9368248048054435E-23   3.0122104283128413E-21   3.976172905655612E-23
11.507275                0.3666344922366008       0.1755345093007754       22299.776197203046       16468.033612003746       3.148721064643295E-23    2.9754343763649556E-21   4.2629712783966013E-23
11.50735                 0.36201672879215957      0.1755345093007754       22300.463984897982       16469.042096256366       3.385054505674442E-23    2.9380685280171667E-21   4.5828396696852457E-23
11.507425000000001       0.35732582842820176      0.1755345093007754       22301.155953190268       16470.061306534775       3.649708806222765E-23    2.9001068348223087E-21   4.941033234341367E-23
11.5075                  0.352561107066859        0.1755345093007754       22301.8520162992         16471.091290715834       3.947359990705413E-23    2.86154364518523E-21     5.343879212699974E-23
11.507575000000001       0.3477219357571899       0.1755345093007754       22302.55207683941        16472.132084823585       4.283675149546084E-23    2.8223737525861638E-21   5.799045795848711E-23
11.50765                 0.342807747039412        0.1755345093007754       22303.256025030678       16473.183711885005       4.665570559374234E-23    2.7825924473429895E-21   6.315891355261338E-23
11.507725                0.3378180417661361       0.1755345093007754       22303.963737868995       16474.246180710386       5.101549842554083E-23    2.7421955721052224E-21   6.905921958897632E-23
11.507800000000001       0.3327523963960219       0.1755345093007754       22304.675078258577       16475.3194845963         5.6021509502388E-23      2.701179581207017E-21    7.583396114766086E-23
11.507875                0.3276104707868369       0.1755345093007754       22305.389894103933       16476.403599946432       6.180542452903417E-23    2.6595416041002887E-21   8.36613151037785E-23
