% Model:              n169_d38.75_R19.5_r7_rmaxerror0.00_external_axion_field_eigenvalues.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 27 2024, 16:25
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             A (m^2)                                           Q (1)                                             Q_alt (rad)                                       Ploss (W/m)                                       Pexp (W/m)                                        Pohmic (W/m)
11.5827919432632+3.363326971294638E-4i            4.472283584051709E-12                             0.17553120425072413                               22587.76808148523                                 17218.747163154214                                9.034744202931812E-6                              3.700426581441231E-32                             6.827685058539016E-21
11.582887206351637+3.363830504053369E-4i          2.7033742996985565E-8                             0.17553120425072413                               22589.080508106606                                17216.311206808685                                9.03196142746247E-6                               2.236956010467253E-28                             8.546726327633784E-20
11.585983903609103+3.354522116509828E-4i          1.1167086544806055E-9                             0.17553120425072413                               22608.601298912192                                17268.70140528105                                 9.0460653344837E-6                                9.250865793212225E-30                             5.5664175770833374E-21
11.58609629920551+3.3550489894143033E-4i          1.4838379509587973E-9                             0.17553120425072413                               22610.468513524796                                17266.156970828113                                9.064392124833455E-6                              1.2293316201840602E-29                            8.63739983398671E-21
11.587134344691846+1.0867020487680728E-4i         1.5301391418473782E-29                            0.17553120425072413                               52686.42671612998                                 53312.79799772866                                 0.5885016158427213                                2.9542115699819717E-49                            4.1061630352412604E-25
11.587326884096594+1.0867061502242576E-4i         2.262859441837057E-30                             0.17553120425072413                               52688.21253225377                                 53313.48265929178                                 0.5872212734507349                                4.369081892715525E-50                             1.735515310423495E-26
11.591338856306047+3.3395276839490103E-4i         1.7368514580249644E-5                             0.17553120425072413                               22636.22525068077                                 17354.257317871852                                9.006809109396575E-6                              1.4412395422895327E-25                            5.795147006015155E-21
11.591382574246568+3.339713302155069E-4i          8.6782164010118E-6                                0.17553120425072413                               22639.393847098276                                17353.358207212037                                9.014443884172988E-6                              7.202220159527684E-26                             5.3014141810644876E-20
11.592739782005365+3.3359676435012114E-4i         0.029178807986249018                              0.17553120425072413                               22646.39891118068                                 17374.877476452173                                9.005515888851033E-6                              2.4226388046764E-22                               2.0076954584893543E-19
11.59897069596595+3.3181752084581655E-4i          5.504073879406428E-8                              0.17553120425072413                               22681.358457275783                                17477.435182082718                                9.002552684178677E-6                              4.57940074777329E-28                              5.1051721295165185E-20
11.599070083326602+3.3186404775910745E-4i         7.680379724913463E-7                              0.17553120425072413                               22683.406296921403                                17475.13453700315                                 8.995362263580046E-6                              6.390723375108028E-27                             1.6581250361806887E-19
11.600795791777008+3.313435406963624E-4i          1.5255459458759636E-8                             0.17553120425072413                               22696.422785680123                                17505.19105513442                                 9.015113311998149E-6                              1.2703002089719549E-28                            1.558154000152442E-21
11.60083477762443+3.31358528953003E-4i            2.6171496843854215E-7                             0.17553120425072413                               22695.482588489416                                17504.458051062913                                9.018626132275367E-6                              2.1791800189826186E-27                            4.632300329830163E-20
11.6015986827648+3.3112909569640083E-4i           8.532858144540828E-7                              0.17553120425072413                               22700.154254614863                                17517.740382878557                                8.96904451500249E-6                               7.106848461778017E-27                             2.5233626333937234E-20
11.610209936598613+3.2855608523151355E-4i         5.657468229835822E-7                              0.17553120425072413                               22747.99078520679                                 17668.0348869024                                  9.000518901709704E-6                              4.725427700435125E-27                             4.180392216718729E-20
11.612754382199533+3.2774240159691247E-4i         2.010486938727907E-8                              0.17553120425072413                               22762.949218074336                                17715.782135595287                                8.990766934939039E-6                              1.6807414421926998E-28                            6.471439099152119E-20
11.612834268528706+3.277939783096382E-4i          4.122253745790651E-8                              0.17553120425072413                               22764.44936536321                                 17713.116421121576                                8.993712472421333E-6                              3.446402382863093E-28                             1.4940611998301398E-19
11.614196516515149+3.274879285125083E-4i          3.6760087699983554E-4                             0.17553120425072413                               22772.97100301005                                 17731.750268889817                                8.944631580417196E-6                              3.074831239612988E-24                             8.090040277657019E-21
11.6162904474805+3.2689247664257606E-4i           5.699898210525984E-8                              0.17553120425072413                               22787.520187122205                                17767.253218815553                                8.966858247404228E-6                              4.771638251352279E-28                             3.5831581937164884E-20
