% Model:              n169_d38.75_R19.5_r7_rmaxerror0.00_external_axion_field_low_frequency_extension.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2024, 18:08
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)             C (1)                    A (m^2)                  Q (1)                    Q_alt (rad)              Ploss (W/m)              Pexp (W/m)               Pohmic (W/m)
11.48                    0.7539527759268781       0.17553120425072413      22120.474268371403       16232.577392669193       2.213472312943454E-25    6.0550306983598275E-21   3.0052033178971413E-25
11.481                   0.7527552223183587       0.17553120425072413      22123.154327908145       16235.262237876737       2.324007362926862E-25    6.046672202587397E-21    3.15542798505472E-25
11.482000000000001       0.7515153555006555       0.17553120425072413      22125.836682758796       16237.94309838159        2.4431714505116233E-25   6.037970493394522E-21    3.3173852634045557E-25
11.483                   0.7502306896159755       0.17553120425072413      22128.521344887322       16240.619875940578       2.5718955521043463E-25   6.028905381493377E-21    3.492341264695435E-25
11.484                   0.7488985293688208       0.17553120425072413      22131.208325982112       16243.29246944523        2.711240463537672E-25    6.0194549771745804E-21   3.6817386775994263E-25
11.485000000000001       0.7475159469222926       0.17553120425072413      22133.89763748837        16245.960775088444       2.862419238025396E-25    6.0095955027932564E-21   3.887227289996095E-25
11.486                   0.746079755641517        0.17553120425072413      22136.589290660504       16248.624686618192       3.0268242960388194E-25   5.999301079671888E-21    4.110700866847832E-25
11.487                   0.7445864801713082       0.17553120425072413      22139.283296640177       16251.284095701709       3.2060603551632123E-25   5.988543485258829E-21    4.354341945529568E-25
11.488000000000001       0.7430323222380918       0.17553120425072413      22141.979666567444       16253.93889243135        3.401984655897185E-25    5.977291875593691E-21    4.620676556582377E-25
11.489                   0.7414131214480859       0.17553120425072413      22144.678411735265       16256.588966010764       3.6167563948209386E-25   5.9655124671736804E-21   4.91264147030215E-25
11.49                    0.739724310210061        0.17553120425072413      22147.37954379882        16259.234205670691       3.8528978597198172E-25   5.9531681711488305E-21   5.23366736295979E-25
11.491000000000001       0.7379608617342079       0.17553120425072413      22150.08307505659        16261.874501877439       4.113370549261629E-25    5.940218171340628E-21    5.587782368539096E-25
11.492                   0.7361172298420444       0.17553120425072413      22152.78901882237        16264.509747914268       4.401670634645601E-25    5.926617435820684E-21    5.979741944176385E-25
11.493                   0.7341872790534928       0.17553120425072413      22155.49738991545        16267.139841938902       4.721949601635557E-25    5.912316149606274E-21    6.4151929923961815E-25
11.494000000000002       0.7321642030846442       0.17553120425072413      22158.208205302253       16269.764689649202       5.079167973958574E-25    5.897259053330779E-21    6.900882989398473E-25
11.495000000000001       0.7300404294739854       0.17553120425072413      22160.921484933384       16272.38420772825        5.4792929249249E-25      5.8813846693748004E-21   7.4449288221619075E-25
11.496                   0.7278075075342255       0.17553120425072413      22163.637252833396       16274.998328289865       5.929554728830679E-25    5.864624392720171E-21    8.057165676118492E-25
11.497                   0.7254559761714067       0.17553120425072413      22166.355538517888       16277.607004612377       6.438782994138428E-25    5.8469014184718794E-21   8.74960446534015E-25
11.498000000000001       0.7229752072825697       0.17553120425072413      22169.076378835005       16280.210218537135       7.017852403379259E-25    5.82812947125618E-21     9.537038246717607E-25
11.499                   0.7203532193871891       0.17553120425072413      22171.799820361586       16282.807990024758       7.680280762074546E-25    5.8082112931366524E-21   1.0437855851913357E-24
11.5                     0.7175764547961272       0.17553120425072413      22174.5259225227         16285.400389521365       8.443041959690048E-25    5.787036835725359E-21    1.1475147910678185E-24
