% Model:              n169_d38.75_R19.5_r7_rmaxerror0.06_external_axion_field_low_frequency_extension.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2024, 15:46
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)             C (1)                    A (m^2)                  Q (1)                    Q_alt (rad)              Ploss (W/m)              Pexp (W/m)               Pohmic (W/m)
11.48                    0.7176358692496381       0.17553450930077527      22169.14119194984        16314.269292489964       2.8896721523167177E-25   5.776156544479278E-21    3.9143577398239854E-25
11.481                   0.7150287372322827       0.17553450930077527      22172.470993880594       16318.026146503604       3.065429915378437E-25    5.7565379053853226E-21   4.152514903389671E-25
11.482000000000001       0.7122690471911625       0.17553450930077527      22175.83011791072        16321.818577340753       3.2584555256324055E-25   5.7356885379919515E-21   4.414070435778428E-25
11.483                   0.709341460728466        0.17553450930077527      22179.220828743786       16325.649606127834       3.471166707468032E-25    5.713484513433596E-21    4.702300147299323E-25
11.484                   0.7062284500150656       0.17553450930077527      22182.645677246965       16329.522653272617       3.7064315717129537E-25   5.68978419772255E-21     5.021090018051724E-25
11.485000000000001       0.7029098938531704       0.17553450930077527      22186.10754885091        16333.441609557265       3.9676754856044287E-25   5.6644249825203305E-21   5.375080965094864E-25
11.486                   0.6993625822218814       0.17553450930077527      22189.609722088044       16337.410922982908       4.2590192876012105E-25   5.637219274584705E-21    5.7698560645576285E-25
11.487                   0.6955596046617339       0.17553450930077527      22193.155939791995       16341.435705527238       4.585459965658084E-25    5.607949544085205E-21    6.212185286497295E-25
11.488000000000001       0.6914695901507987       0.17553450930077527      22196.750496203353       16345.52186525193        4.953109610681335E-25    5.576362169459407E-21    6.710349155396346E-25
11.489                   0.6870557556828514       0.17553450930077527      22200.398344183          16349.676270915992       5.3695154783496575E-25   5.542159731711562E-21    7.27457225685747E-25
11.49                    0.682274706485855        0.17553450930077527      22204.105228002558       16353.906958585801       5.844094687669602E-25    5.504991295151971E-21    7.917611992725863E-25
11.491000000000001       0.6770749111531497       0.17553450930077527      22207.87784887312        16358.223392925689       6.388733698057539E-25    5.4644400518146146E-21   8.655570481184761E-25
11.492                   0.6713947476423844       0.17553450930077527      22211.724072637015       16362.63680025295        7.018629073382172E-25    5.420007484780878E-21    9.509033196967096E-25
11.493                   0.6651599778499693       0.17553450930077527      22215.65319207735        16367.1605965418         7.7534888890034355E-25   5.371092894657589E-21    1.0504695957081861E-24
11.494000000000002       0.6582804545262159       0.17553450930077527      22219.676260352062       16371.810942067148       8.619285614890656E-25    5.316966694632955E-21    1.1677738624186068E-24
11.495000000000001       0.6506457877319649       0.17553450930077527      22223.80651743938        16376.607466290758       9.650874069700853E-25    5.256735256299374E-21    1.3075370089089464E-24
11.496                   0.6421195888648352       0.17553450930077527      22228.059938516133       16381.574223284055       1.0896005878348896E-24   5.189294199116382E-21    1.4762263978872107E-24
11.497                   0.6325317543732346       0.17553450930077527      22232.455942108805       16386.740961301937       1.2421672908600449E-24   5.113265745211268E-21    1.682914739941984E-24
11.498000000000001       0.6216680294346588       0.17553450930077527      22237.018306446396       16392.14482231274        1.4324482061613851E-24   5.026913950402841E-21    1.9406847125153766E-24
11.499                   0.6092557803590474       0.17553450930077527      22241.77635322166        16397.83263052955        1.6748314603811887E-24   4.928029075581998E-21    2.269019665598563E-24
11.5                     0.594944480659858        0.17553450930077527      22246.766464083503       16403.86398365449        1.9915826453804597E-24   4.813768889692023E-21    2.6980678203141408E-24
