% Model:              n169_R19.5_d38_r7_x0.2_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 8 2023, 09:42
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
10.257703999128195+1.3387014660380417E-4i         4.43131333375281E-31                              38311.64771994419                                 0.173161308831062
10.284749215834248+1.35379300949408E-4i           1.3213713190349648E-31                            37984.443149355255                                0.173161308831062
10.284826856099585+1.3537790346508904E-4i         1.8845954581581936E-31                            37985.1220088285                                  0.173161308831062
10.288908361693226+1.3469973339510092E-4i         1.1846182659941537E-31                            38191.51751361714                                 0.173161308831062
10.288987448790602+1.3469130568200284E-4i         2.695967188822689E-31                             38194.20079049239                                 0.173161308831062
10.322032180540663+1.3500701444312533E-4i         1.0696853793100051E-32                            38227.26356308942                                 0.173161308831062
10.32208385125557+1.3501374489667217E-4i          5.088958698471428E-33                             38225.549255349484                                0.173161308831062
10.341749551087117+1.365378325075809E-4i          3.1071942000919776E-32                            37870.87043411747                                 0.173161308831062
10.348755829491177+1.334969335821742E-4i          7.071960972846328E-32                             38759.77572590323                                 0.173161308831062
10.363436294973058+1.3352623238771763E-4i         2.8912367975052677E-33                            38806.242837430495                                0.173161308831062
10.363540925460528+1.3351282756949272E-4i         3.575745981347457E-31                             38810.5309080557                                  0.173161308831062
10.36504009891291+1.3398862568790484E-4i          2.7320260783268045E-31                            38678.306024866186                                0.173161308831062
10.365153512454642+1.339805019643462E-4i          7.675975807252671E-33                             38681.07450641368                                 0.173161308831062
10.37817171383748+1.3643525727376253E-4i          1.9410721766424553E-32                            38032.820451288455                                0.173161308831062
10.403607287413433+4.2185894256505357E-4i         0.5770676776855074                                12330.170580579857                                0.173161308831062
10.413519776250048+4.2099850262137747E-4i         4.4254911421678065E-4                             12367.14469098093                                 0.173161308831062
10.413795287286224+4.212251962686687E-4i          1.3369404373639698E-4                             12360.8157462089                                  0.173161308831062
10.41444625232903+1.3648905253681054E-4i          4.857586120725369E-31                             38150.71454310704                                 0.173161308831062
10.414619269351844+1.3648153198779885E-4i         4.1757076809171255E-32                            38153.45063935793                                 0.173161308831062
10.423735333071612+1.341987272732521E-4i          6.182296378859331E-33                             38836.43809433883                                 0.173161308831062
10.426584582810394+4.2000908222816546E-4i         3.6260465898699283E-6                             12411.832291788876                                0.173161308831062
10.426721845719486+4.201234716969738E-4i          9.467693374014928E-6                              12408.616073659352                                0.173161308831062
10.428468321905688+1.3340735881919435E-4i         7.009291506929942E-30                             39084.55648537491                                 0.173161308831062
10.431125843294934+4.196422180216206E-4i          0.11475272606872317                               12428.094400299766                                0.173161308831062
10.436999969840816+1.3357230910170873E-4i         1.8253535991595242E-30                            39068.226190815796                                0.173161308831062
10.437219061953986+1.335760712351833E-4i          2.3886056004727947E-30                            39067.945931346476                                0.173161308831062
10.44027181964427+4.1888002268403927E-4i          1.948202547270848E-6                              12461.626661791952                                0.173161308831062
10.44507264751301+4.187412591658238E-4i           2.4635786771412245E-5                             12471.488825231667                                0.173161308831062
10.451539350417335+4.1805259983586536E-4i         1.3114546153042086E-6                             12499.76825605523                                 0.173161308831062
10.451732393161244+4.1809772535575883E-4i         4.211067545840507E-7                              12498.64995247058                                 0.173161308831062
10.452427883245274+1.331285456854012E-4i          3.631933522279745E-32                             39256.39921462059                                 0.173161308831062
10.45312555982737+1.326104087810728E-4i           4.3858751309795096E-32                            39412.414756676975                                0.173161308831062
10.460602544835728+4.1735321170852113E-4i         4.805826900928572E-6                              12531.573717029736                                0.173161308831062
10.46084631474573+4.1746033390956675E-4i          1.3504253780820974E-6                             12528.649896367266                                0.173161308831062
10.476200441221517+4.160652514431196E-4i          5.375363992432926E-5                              12589.11204021466                                 0.173161308831062
10.476293194612508+4.1617426301863617E-4i         3.401296499391425E-5                              12585.925785474858                                0.173161308831062
10.476571115842663+1.3555974243347393E-4i         2.9023052993610913E-28                            38641.39570192886                                 0.173161308831062
10.476644277834223+1.355684698768511E-4i          3.594098622671526E-28                             38639.17789744774                                 0.173161308831062
10.478398324157562+4.158708387584146E-4i          0.04709006366884397                               12597.639953002223                                0.173161308831062
10.482299650878504+4.156360755711398E-4i          5.500831614172327E-6                              12609.448891394495                                0.173161308831062
10.482473938273767+4.1573317419123007E-4i         1.7077353623292988E-6                             12606.713324353901                                0.173161308831062
10.496363515270552+4.1430167025971985E-4i         6.150984053990745E-7                              12667.03643786158                                 0.173161308831062
10.497851445608815+1.335174887244659E-4i          5.808671837984375E-31                             39312.14362660118                                 0.173161308831062
10.498000290767942+1.335175333339073E-4i          3.2525922016892113E-31                            39312.68788222614                                 0.173161308831062
10.505903929917151+4.1371764071242514E-4i         1.591493305384975E-4                              12696.44861776774                                 0.173161308831062
10.507897210972494+4.138006810266737E-4i          4.2162884707291243E-7                             12696.309086978476                                0.173161308831062
10.507953788791166+4.1388599531314566E-4i         1.1316654029408786E-8                             12693.760242895674                                0.173161308831062
10.509401131778516+4.133564104699751E-4i          3.35065468078822E-7                               12711.77458646187                                 0.173161308831062
10.509629696717841+4.1346737693007373E-4i         4.634898453382253E-7                              12708.639258017694                                0.173161308831062
10.512687017697154+1.3397736230180802E-4i         1.1226936613681477E-30                            39232.56896792797                                 0.173161308831062
10.51275419412683+1.3393647078740583E-4i          5.652143321540889E-31                             39244.797803933725                                0.173161308831062
10.51309640590943+1.3519831488723435E-4i          8.696699301472494E-32                             38879.77590646407                                 0.173161308831062
10.527347247762995+4.118630045831315E-4i          1.0561078511762683E-6                             12779.654983254546                                0.173161308831062
10.527877292010908+4.120992782944799E-4i          1.8723719467275853E-7                             12772.970671544172                                0.173161308831062
10.534080883452875+4.116010868039807E-4i          4.834544209771685E-6                              12795.967057483878                                0.173161308831062
10.534253448559088+4.117051816215614E-4i          1.9053381384816E-7                                12792.941188083547                                0.173161308831062
10.537894794358241+1.3265969772777498E-4i         1.3843933945834986E-21                            39717.26440355382                                 0.173161308831062
10.538101118761038+1.326657086080162E-4i          6.083941196220878E-22                             39716.24260631492                                 0.173161308831062
10.540075930646891+1.3665896166159007E-4i         1.0785706793000772E-22                            38562.9217750523                                  0.173161308831062
10.545203243160355+4.106920049101051E-4i          1.639611620295832E-4                              12837.839315916895                                0.173161308831062
